date,newcases,deaths
1/3/2022,2356724,5881
1/4/2022,2513500,8116
1/5/2022,2583777,7776
1/6/2022,2667373,7067
1/7/2022,2953338,7255
1/8/2022,2190780,5474
1/9/2022,2040984,4134
1/10/2022,3159431,6572
1/11/2022,3028894,9106
1/12/2022,3446711,9023
1/13/2022,3185554,8229
1/14/2022,3316598,7967
1/15/2022,2505217,6364
1/16/2022,2187079,4556
1/17/2022,2644921,6224
1/18/2022,3763408,9105
1/19/2022,4081968,9931
1/20/2022,3728590,9640
1/21/2022,3822911,9966
1/22/2022,2780054,6200
1/23/2022,2465311,5217
1/24/2022,3410010,8683
1/25/2022,3650463,10710
1/26/2022,3759228,10716
1/27/2022,3698904,10301
1/28/2022,3657861,12347
1/29/2022,2743272,8072
1/30/2022,2291883,5607
1/31/2022,2729458,10198
2/1/2022,3124158,12481
2/2/2022,3175047,11887
2/3/2022,3185845,11637
2/4/2022,2948921,13163
2/5/2022,2315452,8383
2/6/2022,1891432,6015
2/7/2022,2622118,10910
2/8/2022,2599298,12795
2/9/2022,2427487,13128
2/10/2022,2807209,11877
2/11/2022,2415929,11981
2/12/2022,1930323,8844
2/13/2022,1528846,5329
2/14/2022,1707029,10978
2/15/2022,1872444,10653
2/16/2022,2237133,13109
2/17/2022,2059117,12212
2/18/2022,1980325,10639
2/19/2022,1663473,8566
2/20/2022,1310209,5449
2/21/2022,1398375,7278
2/22/2022,1670072,10052
2/23/2022,1914398,11987
2/24/2022,1785657,10807
2/25/2022,1652220,9066
2/26/2022,1447974,6789
2/27/2022,1159107,4757
2/28/2022,1325089,7373
3/1/2022,1598070,8475
3/2/2022,1656303,8173
3/3/2022,1770981,8175
3/4/2022,1760612,8716
3/5/2022,1480888,5896
3/6/2022,1225788,4278
3/7/2022,1431800,7374
3/8/2022,1738546,7211
3/9/2022,1830036,7872
3/10/2022,1869437,7535
3/11/2022,1870798,6567
3/12/2022,1797743,4979
3/13/2022,1282568,3599
3/14/2022,1612950,5315
3/15/2022,1806500,5618
3/16/2022,2234337,6889
3/17/2022,2075918,6742
3/18/2022,1889817,5525
3/19/2022,1737949,4075
3/20/2022,1091830,3371
3/21/2022,1487589,4648
3/22/2022,1974363,5075
3/23/2022,1801557,5981
3/24/2022,1779482,5293
3/25/2022,1757889,8952
