rdate,Y,M,D,doy,time,datestr1,datestr2,datestr3,ndvi,blue,green,red,nir,swir1,swir2,sensor
10/12/1993,1993,10,12,285,1993.779452,LT4-1993-10-12,LT4-1993285ndvi,"1993,, 10/ 12",0.670163301,363.4188538,538.0787964,524.1709595,2654.195557,1477.692139,601.6342773,LT4
4/22/1994,1994,4,22,112,1994.305479,LT4-1994-04-22,LT4-1994112ndvi,"1994,, 4/ 22",0.438608686,500.7922363,716.8165283,865.3045654,2217.409912,2491.188232,1556.727173,LT4
5/8/1994,1994,5,8,128,1994.349315,LT4-1994-05-08,LT4-1994128ndvi,"1994,, 5/  8",0.574934718,700.2924194,973.2108765,919.4038696,3406.538086,2313.414063,1198.903442,LT4
8/12/1994,1994,8,12,224,1994.612329,LT4-1994-08-12,LT4-1994224ndvi,"1994,, 8/ 12",0.308486279,2740.4729,2752.316162,2450.470459,4636.794434,2341.605469,1151.109497,LT4
9/13/1994,1994,9,13,256,1994.7,LT4-1994-09-13,LT4-1994256ndvi,"1994,, 9/ 13",0.783723915,382.5953674,545.3029785,397.4368286,3277.836182,1586.636108,610.1737671,LT4
10/15/1994,1994,10,15,288,1994.787671,LT4-1994-10-15,LT4-1994288ndvi,"1994,, 10/ 15",0.636318379,276.9805603,474.9782715,551.0213623,2479.218994,1585.779785,683.2624512,LT4
12/2/1994,1994,12,2,336,1994.919178,LT4-1994-12-02,LT4-1994336ndvi,"1994,, 12/  2",0.418536969,372.0757446,515.3575439,670.3549194,1635.397583,1981.946411,1185.733032,LT4
3/24/1995,1995,3,24,83,1995.226027,LT4-1995-03-24,LT4-1995083ndvi,"1995,, 3/ 24",0.373624799,476.5934143,649.8595581,840.8355713,1843.930908,2360.126709,1499.298584,LT4
5/27/1995,1995,5,27,147,1995.40137,LT4-1995-05-27,LT4-1995147ndvi,"1995,, 5/ 27",0.611189225,867.350647,1215.237427,1037.417725,4298.945313,2368.515137,1430.368408,LT4
7/14/1995,1995,7,14,195,1995.532877,LT4-1995-07-14,LT4-1995195ndvi,"1995,, 7/ 14",0.818796893,377.7463989,553.8701172,385.5670471,3870.066895,1697.717041,667.008728,LT4
7/30/1995,1995,7,30,211,1995.576712,LT4-1995-07-30,LT4-1995211ndvi,"1995,, 7/ 30",0.854123451,199.8745575,388.6003723,277.1991272,3523.262695,1622.314697,624.6074219,LT4
8/31/1995,1995,8,31,243,1995.664384,LT4-1995-08-31,LT4-1995243ndvi,"1995,, 8/ 31",0.725910856,562.4754639,680.9263916,538.1242065,3388.512207,1717.332153,697.9929199,LT4
10/2/1995,1995,10,2,275,1995.752055,LT4-1995-10-02,LT4-1995275ndvi,"1995,, 10/  2",0.690187297,312.5561218,481.578064,448.8817139,2448.880127,1626.568237,718.1588745,LT4
10/18/1995,1995,10,18,291,1995.79589,LT4-1995-10-18,LT4-1995291ndvi,"1995,, 10/ 18",0.577836134,426.1551208,574.4862671,568.9404297,2126.413086,1763.192017,829.0933838,LT4
11/3/1995,1995,11,3,307,1995.839726,LT4-1995-11-03,LT4-1995307ndvi,"1995,, 11/  3",0.358917043,662.2438354,797.0895996,815.7399902,1729.141235,1414.687622,748.0699463,LT4
3/26/1996,1996,3,26,86,1996.234247,LT4-1996-03-26,LT4-1996086ndvi,"1996,, 3/ 26",0.326918295,553.4713135,729.8357544,947.6749878,1868.25354,2470.086426,1581.082886,LT4
6/30/1996,1996,6,30,182,1996.49726,LT4-1996-06-30,LT4-1996182ndvi,"1996,, 6/ 30",0.815622238,464.9590454,675.5705566,455.777771,4488.178223,1845.386597,713.4419556,LT4
9/2/1996,1996,9,2,246,1996.672603,LT4-1996-09-02,LT4-1996246ndvi,"1996,, 9/  2",0.763111698,563.8007202,669.1206665,489.0407104,3639.831055,1678.298706,638.5436401,LT4
9/18/1996,1996,9,18,262,1996.716438,LT4-1996-09-18,LT4-1996262ndvi,"1996,, 9/ 18",0.813590538,257.6078796,381.0090942,313.4778748,3049.8479,1494.026123,586.6166382,LT4
10/4/1996,1996,10,4,278,1996.760274,LT4-1996-10-04,LT4-1996278ndvi,"1996,, 10/  4",0.749861028,255.0586853,423.4163513,367.9451904,2573.980957,1474.367554,629.1643066,LT4
1/8/1997,1997,1,8,8,1997.020548,LT4-1997-01-08,LT4-1997008ndvi,"1997,, 1/  8",0.395388795,453.7139893,475.8796692,687.5042725,1586.698608,1820.600342,1116.733398,LT4
2/25/1997,1997,2,25,56,1997.152055,LT4-1997-02-25,LT4-1997056ndvi,"1997,, 2/ 25",0.367494387,508.4991455,577.538147,808.2429199,1747.443237,2109.358154,1302.713501,LT4
3/29/1997,1997,3,29,88,1997.239726,LT4-1997-03-29,LT4-1997088ndvi,"1997,, 3/ 29",0.338338907,917.9525757,1074.273315,1209.855225,2447.168701,2597.602295,1542.327393,LT4
4/30/1997,1997,4,30,120,1997.327397,LT4-1997-04-30,LT4-1997120ndvi,"1997,, 4/ 30",0.475867917,516.4807129,714.1572876,779.8644409,2195.967285,2175.463135,1269.717285,LT4
5/16/1997,1997,5,16,136,1997.371233,LT4-1997-05-16,LT4-1997136ndvi,"1997,, 5/ 16",0.667931978,494.1947021,678.4044189,659.0172729,3310.153076,2386.515625,1239.531738,LT4
7/19/1997,1997,7,19,200,1997.546575,LT4-1997-07-19,LT4-1997200ndvi,"1997,, 7/ 19",0.867064392,215.5789795,404.9508667,284.5212097,3996.065674,1727.391113,653.4187622,LT4
9/5/1997,1997,9,5,248,1997.678082,LT4-1997-09-05,LT4-1997248ndvi,"1997,, 9/  5",0.810538851,265.8080139,441.3659668,333.8693237,3190.540039,1559.171509,661.8925171,LT4
9/21/1997,1997,9,21,264,1997.721918,LT4-1997-09-21,LT4-1997264ndvi,"1997,, 9/ 21",0.777709212,521.6135864,666.7991333,510.8746643,4085.579102,2088.247803,880.7253418,LT4
10/7/1997,1997,10,7,280,1997.765753,LT4-1997-10-07,LT4-1997280ndvi,"1997,, 10/  7",0.669312872,572.4769897,709.6759033,581.9376831,2937.628906,1707.298828,729.4472656,LT4
10/23/1997,1997,10,23,296,1997.809589,LT4-1997-10-23,LT4-1997296ndvi,"1997,, 10/ 23",0.635953494,434.6025391,507.0960999,544.7341919,2447.928467,1795.428345,883.4229736,LT4
11/24/1997,1997,11,24,328,1997.89726,LT4-1997-11-24,LT4-1997328ndvi,"1997,, 11/ 24",0.430037723,487.0968323,554.3873901,502.5516968,1260.904297,885.9749756,447.1860657,LT4
1/11/1998,1998,1,11,11,1998.028767,LT4-1998-01-11,LT4-1998011ndvi,"1998,, 1/ 11",0.394076956,420.1793518,560.850647,679.7225952,1563.871216,1796.329102,1080.576538,LT4
3/16/1998,1998,3,16,75,1998.20411,LT4-1998-03-16,LT4-1998075ndvi,"1998,, 3/ 16",0.372056692,518.0777588,710.0040894,871.4095459,1904.03064,2357.662842,1460.141357,LT4
4/1/1998,1998,4,1,91,1998.247945,LT4-1998-04-01,LT4-1998091ndvi,"1998,, 4/  1",0.475350069,621.8153687,781.4346924,853.7960815,2400.930664,2172.207764,1218.116699,LT4
5/19/1998,1998,5,19,139,1998.379452,LT4-1998-05-19,LT4-1998139ndvi,"1998,, 5/ 19",0.845208896,289.6806641,559.2300415,345.8924255,4123.258789,1833.330322,746.3946533,LT4
6/20/1998,1998,6,20,171,1998.467123,LT4-1998-06-20,LT4-1998171ndvi,"1998,, 6/ 20",0.858279203,296.0011292,499.2590637,337.0616455,4419.638184,1964.960449,785.2025757,LT4
8/23/1998,1998,8,23,235,1998.642466,LT4-1998-08-23,LT4-1998235ndvi,"1998,, 8/ 23",0.78396671,383.8494263,533.1710205,412.7786865,3408.657227,1868.520264,789.354248,LT4
9/24/1998,1998,9,24,267,1998.730137,LT4-1998-09-24,LT4-1998267ndvi,"1998,, 9/ 24",0.763847856,253.9504089,409.6252747,354.407135,2647.108154,1618.401611,697.2140503,LT4
11/11/1998,1998,11,11,315,1998.861644,LT4-1998-11-11,LT4-1998315ndvi,"1998,, 11/ 11",0.485912615,439.2258606,576.894104,658.5544434,1903.478638,1959.649414,1071.785156,LT4
11/27/1998,1998,11,27,331,1998.905479,LT4-1998-11-27,LT4-1998331ndvi,"1998,, 11/ 27",0.442774482,453.0110168,582.3665161,693.135437,1794.67395,1867.070801,1048.320923,LT4
2/15/1999,1999,2,15,46,1999.124658,LT4-1999-02-15,LT4-1999046ndvi,"1999,, 2/ 15",0.207280098,1332.224365,1468.274536,1604.536255,2443.643311,1552.671753,960.1131592,LT4
6/7/1999,1999,6,7,158,1999.431507,LT4-1999-06-07,LT4-1999158ndvi,"1999,, 6/  7",0.655274802,1092.311646,1251.516357,1053.444458,5058.348145,2405.332275,1079.533936,LT4
6/23/1999,1999,6,23,174,1999.475342,LT4-1999-06-23,LT4-1999174ndvi,"1999,, 6/ 23",0.802096465,319.4645691,554.9387207,438.8500977,3996.139893,1935.197876,839.6281128,LT4
9/11/1999,1999,9,11,254,1999.694521,LT4-1999-09-11,LT4-1999254ndvi,"1999,, 9/ 11",0.781450468,232.3169556,398.7180786,332.5231323,2710.477051,1587.758545,693.4580078,LT4
10/29/1999,1999,10,29,302,1999.826027,LT4-1999-10-29,LT4-1999302ndvi,"1999,, 10/ 29",0.461049955,463.1210022,583.2174683,687.7642212,1864.473145,1899.772583,1001.076538,LT4
1/1/2000,2000,1,1,1,2000.00137,LT4-2000-01-01,LT4-2000001ndvi,"2000,, 1/  1",0.382529568,393.1014404,482.7926636,632.9129028,1417.105591,1572.849976,872.690979,LT4
2/2/2000,2000,2,2,33,2000.089041,LT4-2000-02-02,LT4-2000033ndvi,"2000,, 2/  2",0.13570634,1601,1487,1554,2042,1233,723,LT4
3/5/2000,2000,3,5,65,2000.176712,LT4-2000-03-05,LT4-2000065ndvi,"2000,, 3/  5",0.356310712,470.473999,608.5663452,782.2980957,1648.371826,2281.739502,1458.762085,LT4
5/24/2000,2000,5,24,145,2000.39589,LT4-2000-05-24,LT4-2000145ndvi,"2000,, 5/ 24",0.834187961,348.3777161,641.989624,410.3057861,4538.741211,1932.584839,786.8656616,LT4
6/9/2000,2000,6,9,161,2000.439726,LT4-2000-06-09,LT4-2000161ndvi,"2000,, 6/  9",0.840163105,316.595459,531.8370361,347.7301331,4003.332031,1735.561646,686.5341797,LT4
7/27/2000,2000,7,27,209,2000.571233,LT4-2000-07-27,LT4-2000209ndvi,"2000,, 7/ 27",0.80427275,499.4329529,657.6259766,457.823822,4220.35791,1799.860718,687.3070679,LT4
9/13/2000,2000,9,13,257,2000.70274,LT4-2000-09-13,LT4-2000257ndvi,"2000,, 9/ 13",0.823592728,212.6140137,376.9992065,275.6086731,2849.077393,1417.521973,567.2612305,LT4
10/31/2000,2000,10,31,305,2000.834247,LT4-2000-10-31,LT4-2000305ndvi,"2000,, 10/ 31",0.508957657,330.3954163,471.401001,577.7504883,1775.409058,1929.414673,1033.922363,LT4
12/2/2000,2000,12,2,337,2000.921918,LT4-2000-12-02,LT4-2000337ndvi,"2000,, 12/  2",0.2762579,904.3898315,976.5762939,1013.520569,1787.25769,1263.340576,762.4621582,LT4
4/25/2001,2001,4,25,115,2001.313699,LT4-2001-04-25,LT4-2001115ndvi,"2001,, 4/ 25",0.630358922,398.9147034,628.0858765,598.5009766,2639.780762,2034.543945,1115.614014,LT4
5/11/2001,2001,5,11,131,2001.357534,LT4-2001-05-11,LT4-2001131ndvi,"2001,, 5/ 11",0.780513438,356.4173889,633.3986206,460.0914307,3732.342285,1753.817017,774.322998,LT4
6/12/2001,2001,6,12,163,2001.445205,LT4-2001-06-12,LT4-2001163ndvi,"2001,, 6/ 12",0.822500829,385.7467346,648.4786987,447.8786621,4598.665039,1866.378296,762.7119141,LT4
6/28/2001,2001,6,28,179,2001.489041,LT4-2001-06-28,LT4-2001179ndvi,"2001,, 6/ 28",0.81793867,435.963501,611.4029541,435.5722656,4349.32373,1850.442627,750.6543579,LT4
7/14/2001,2001,7,14,195,2001.532877,LT4-2001-07-14,LT4-2001195ndvi,"2001,, 7/ 14",0.858788122,241.4867554,442.9907837,311.0426331,4094.289795,1745.903809,675.7687988,LT4
7/30/2001,2001,7,30,211,2001.576712,LT4-2001-07-30,LT4-2001211ndvi,"2001,, 7/ 30",0.827864401,310.6670227,509.8258972,360.5747681,3828.852295,1708.083984,659.4078369,LT4
8/15/2001,2001,8,15,227,2001.620548,LT4-2001-08-15,LT4-2001227ndvi,"2001,, 8/ 15",0.832420813,230.6689453,403.5090332,308.2595215,3370.711914,1679.722168,675.9807739,LT4
9/16/2001,2001,9,16,259,2001.708219,LT4-2001-09-16,LT4-2001259ndvi,"2001,, 9/ 16",0.818808669,215.4762878,383.4442139,288.4837952,2895.816406,1570.845825,611.505188,LT4
10/18/2001,2001,10,18,291,2001.79589,LT4-2001-10-18,LT4-2001291ndvi,"2001,, 10/ 18",0.58861843,277.5503235,464.4228516,525.2782593,2028.449463,1683.053711,828.6165161,LT4
11/3/2001,2001,11,3,307,2001.839726,LT4-2001-11-03,LT4-2001307ndvi,"2001,, 11/  3",0.506235507,324.0005798,431.6694031,556.8208618,1698.589844,1740.368286,936.0194702,LT4
11/19/2001,2001,11,19,323,2001.883562,LT4-2001-11-19,LT4-2001323ndvi,"2001,, 11/ 19",0.326551864,794.8065186,827.206604,896.1278687,1765.184326,2062.307129,1269.988525,LT4
12/5/2001,2001,12,5,339,2001.927397,LT4-2001-12-05,LT4-2001339ndvi,"2001,, 12/  5",0.430629189,433.6390381,544.7088623,627.6698608,1577.114258,1874.055298,1057.860474,LT4
1/22/2002,2002,1,22,22,2002.058904,LT4-2002-01-22,LT4-2002022ndvi,"2002,, 1/ 22",0.205847795,1092.934448,1080.262329,1180.291992,1792.165894,1146.126709,717.4102783,LT4
2/7/2002,2002,2,7,38,2002.10274,LT4-2002-02-07,LT4-2002038ndvi,"2002,, 2/  7",0.402212394,404.3908691,532.8623047,652.3278809,1530.145874,1964.557983,1215.981812,LT4
2/23/2002,2002,2,23,54,2002.146575,LT4-2002-02-23,LT4-2002054ndvi,"2002,, 2/ 23",0.357262409,616.7943726,753.2588501,893.741272,1887.304321,1958.92041,1153.861816,LT4
